yellow	colour, color, |0.0|.1|2
resort	recur, use, utilize, utilise, apply, employ, repair, travel, go, move, |0.0|.1|10
trip	stumble, move, travel, trigger, activate, spark, initiate, pioneer, |0.0|.1|8
mull	ponder, contemplate, muse, reflect, speculate, think, |0.0|.1|6
conquer	suppress, subdue, curb, control, hold, contain, check, curb, moderate, appropriate, capture, seize, assume, seize, overcome, defeat, |0.0|.1|16
peel	skin, pare, strip, chip, unclothe, strip, |0.0|.1|6
flourish	boom, prosper, thrive, expand*, grow, thrive, prosper, turn, wave, move, displace, |0.0|.1|11
lie	be, consist, belong, exist, be, be, mislead, rest, be, |0.0|.1|9
cascade	descend, fall, arrange, |0.0|.1|3
refine	polish, down, better, improve*, complicate, elaborate, change, alter, modify, process, treat, purify, change, alter, modify, |0.0|.1|15
totter	rock, sway, shake, walk, teeter, move, |0.0|.1|6
initial	sign, |0.0|.1|1
inspect	examine, see, visit, audit, scrutinise, analyze, analyse, study, examine, canvas, |0.0|.1|10
aggrandise	pad, overstate, exaggerate, amplify, |0.0|.1|4
fraction	divide, calculate, compute, reckon, figure, |0.0|.1|5
unseat	remove, move, displace, |0.0|.1|3
fork	attack, branch, separate, diverge, shape, form, |0.0|.1|6
underline	underscore*, emphasize, emphasise, stress, emphasize, emphasise, punctuate, accent, accentuate, underscore*, mark, |0.0|.1|11
ford	track, cover, cross, |0.0|.1|3
pen	write, |0.0|.1|1
syndicate	connect, link, join, unite, form, organize, organise, sell, |0.0|.1|8
fluctuate	move, displace, swing, turn, |0.0|.1|4
surrender	yield, cede, deliver, give, gift, present, relinquish, yield, |0.0|.1|8
fort	meet, gather, assemble, station, post, base, send, place, |0.0|.1|8
bound	jump, leap, spring, move, border, confine, restrict, restrain, limit, confine, control, hold, contain, check, curb, moderate, bounce, spring, jump, leap, spring, |0.0|.1|21
boomerang	return, |0.0|.1|1
diagnose	name, analyze, analyse, study, examine, canvas, analyze, analyse, study, examine, canvas, |0.0|.1|11
tarnish	stain, defile, spot, blot, |0.0|.1|4
strengthen	change, alter, modify, change, tone, exercise, |0.0|.1|6
stick	wedge, deposit, fix, secure, stay, put, set, place, pose, position, lay, adhere, bond, bind, attach, be, persist, remain, stay, adhere, adopt, follow, espouse, adhere, be, decorate, adorn, grace*, pierce, pierce, cling, adhere, touch, meet, contact, sting, force, vex, get, puzzle, baffle, beat, pose, bewilder, gravel, amaze, confuse, throw, befuddle, confound, |0.0|.1|50
shimmy	wobble, dance, |0.0|.1|2
fringe	decorate, adorn, grace*, surround, skirt, border, |0.0|.1|6
fashion	forge, make, |0.0|.1|2
graft	transplant, insert, enter, introduce, |0.0|.1|4
lilt	pronounce, articulate, enunciate, say, |0.0|.1|4
warehouse	store, |0.0|.1|1
felt	tangle, cover, change, |0.0|.1|3
weekend	spend, pass, |0.0|.1|2
forego	precede, forgo, |0.0|.1|2
tremble	shake, agitate, |0.0|.1|2
jacket	cover, dress, clothe, apparel, |0.0|.1|4
parcel	divide, split, separate, cover, wrap, |0.0|.1|5
profit	gain, benefit*, get, acquire, clear, make, earn, realize, realise, |0.0|.1|9
implore	beg, pray, plead, |0.0|.1|3
theme	supply, provide, furnish, |0.0|.1|3
maim	injure, wound, |0.0|.1|2
skin	scramble, struggle, climb, scrape, injure, wound, strip, peel, pare, strip, |0.0|.1|10
milk	draw, exploit, tap, add, |0.0|.1|4
disorder	trouble, distract, disturb, upset, trouble, disarray, change, alter, modify, |0.0|.1|9
swoon	faint, conk, |0.0|.1|2
advise	counsel, discuss, notify, inform, propose, suggest, declare, |0.0|.1|7
convict	pronounce, label, judge, |0.0|.1|3
lynch	kill, |0.0|.1|1
jettison	fling, toss, dispose, throw, |0.0|.1|4
materialize	happen, materialise, happen, occur, pass, |0.0|.1|5
pant	gasp, heave, blow, utter, emit, |0.0|.1|5
talk	speak, communicate, speak, utter, mouth, communicate, speak, communicate, spill, tell, sing, disclose^, reveal, discover, expose, break, teach, learn, instruct, |0.0|.1|19
curve	sheer, trend, slew, cut, turn, wind, twist, be, arch, bend, flex, crook, bend, flex, |0.0|.1|14
worm	wrestle, twist, move, |0.0|.1|3
major	study, |0.0|.1|1
encrust	coat, surface, beset^, decorate, adorn, grace*, harden, |0.0|.1|7
fill	change, alter, modify, turn, occupy, be, take, work, meet, satisfy, provide, supply, ply, cater, hire, engage, employ, eat, consume, take, have, repair, mend, fix, doctor, restore, |0.0|.1|26
wrinkle	purse, contract, crisp, fold, fold, fold, |0.0|.1|6
dwarf	shadow, overshadow, dominate, command, overlook, stunt, |0.0|.1|6
french	break, |0.0|.1|1
institute	establish, found, plant, constitute, initiate, pioneer, bring, make, create, |0.0|.1|9
reappear	appear, |0.0|.1|1
exemplify	represent, be, illustrate, instance, elaborate, enlarge, expand*, |0.0|.1|7
tint	touch, color, colour, |0.0|.1|3
license	licence, certify, authorize, authorise, pass, clear, |0.0|.1|6
verge	bound, border, |0.0|.1|2
ail	suffer, hurt^, afflict, trouble, pain, hurt^, |0.0|.1|6
troop	promenade, march, process, march, |0.0|.1|4
visit	see, tour, travel, trip, call, meet, inspect, impose, communicate, chat, chatter, jaw, discourse, abide, stay, afflict, smite, |0.0|.1|17
flaunt	flash, swank, expose, exhibit, display, |0.0|.1|5
rib	knit, guy, mock, |0.0|.1|3
lessen	decrease^, diminish, fall, decrease^, change, alter, modify, weaken, |0.0|.1|8
concoct	mix, mingle, unify, cook, fix, ready, make, prepare, manufacture, invent, |0.0|.1|10
confuse	confound, mistake, throw, befuddle, confound, be, flurry, embarrass, assemble, piece, tack, change, alter, modify, blur, obscure, change, alter, modify, |0.0|.1|19
sample	try, taste, consume, take, have, |0.0|.1|5
batter	buffet, strike, clobber, beat, dinge, |0.0|.1|5
craze	madden, crack, |0.0|.1|2
pink	tap, knock, sound, go, ping, knock, sound, go, cut, |0.0|.1|9
hinge	attach, |0.0|.1|1
burgeon	grow, |0.0|.1|1
inundate	deluge, flood, fill, deluge, flood, |0.0|.1|5
ping	hit, strike, pink, knock, sound, go, sound, go, reach, contact, reach, contact, |0.0|.1|12
till	work, process, |0.0|.1|2
sunday	spend, pass, |0.0|.1|2
revolutionize*	overturn, change, alter, modify, overthrow, overturn, inspire, |1.0|.1|7
tile	cover, |0.0|.1|1
swear	curse, express, utter, affirm, verify, assert, aver, swan, declare, vow, depose, declare, trust, rely, bank, believe, |0.0|.1|16
tilt	lean, tip, angle, bend, flex, pitch, move, wobble, shift, move, |0.0|.1|10
scramble	travel, go, move, skin, struggle, climb, disorder, disarray, beat, agitate, vex, disturb, change, alter, modify, |0.0|.1|15
mobilise	mobilize, rally, call, mobilize, mobilize, marshal, summon, gather, garner, collect, mobilize, circulate, move, displace, |0.0|.1|14
purify	better, improve*, change, alter, modify, change, |0.0|.1|6
switch	exchange, turn, reverse, trade, swap, exchange, change, interchange, shift, change, shift, change, alter, modify, throw, engage, mesh, lock, operate, flog, whip, lash, slash, strap, interchange, tack, alternate, turn, reverse, |0.0|.1|29
frame	border, confine, ensnare, cast, put, couch, formulate, word, phrase, articulate, plan, construct, build, make, |0.0|.1|14
mutiny	rebel, arise*, rise, |0.0|.1|3
recoup	reimburse, compensate, recover, get, acquire, withhold, deduct, keep, |0.0|.1|8
blood	|0.0|.1|0
shatter	burst, bust^, break, |0.0|.1|3
lunch	eat, feed, give, |0.0|.1|3
kill	defeat, veto, negative, end, terminate, be, hurt^, suffer, overwhelm, whelm, overcome, overtake, hit, hit, pop, down, drink, exhaust, beat, cut, destroy, |0.0|.1|21
outweigh	surpass, outgo, exceed, outdo, outperform, dominate, rule, reign, prevail, |0.0|.1|9
finalise	settle, end, terminate, |0.0|.1|3
gamble	chance, risk, hazard, adventure, try, seek, attempt, essay, play, |0.0|.1|9
ensnare	frame, trap, snare, capture, catch, |0.0|.1|5
brook	digest, endure, stomach, bear, stand, tolerate, support, abide, suffer, permit, allow, let, |0.0|.1|12
lump	chunk, collect, accumulate, compile, chunk, group, |0.0|.1|6
forbid	prohibit^, veto, disallow, command, require, compel, prevent, forestall, foreclose^, preclude, forbid, |0.0|.1|11
proffer	offer, give, |0.0|.1|2
frequent	patronize, shop, sponsor, support, haunt, visit, |0.0|.1|6
cheese	stop, cease, quit, |0.0|.1|3
succumb	yield, accept, consent, yield, die, go, exit, expire^, pass, conk, choke^, |0.0|.1|11
flee	fly, run, escape, |0.0|.1|3
placard	post, bill, post, |0.0|.1|3
long	yearn, desire, want, |0.0|.1|3
interchange	exchange, change, transfer, transpose, change, alter, modify, tack, switch, alternate, turn, reverse, |0.0|.1|12
arouse	elicit, kindle, evoke, fire, raise, provoke, make, create, awaken, wake, turn, raise, conjure, evoke, stir, make, create, stimulate, brace, energize, affect, awaken, wake, rouse, change, alter, modify, stir, move, sex, excite, stimulate, shake, excite, stir, |0.0|.1|35
scrape	grate, rub, make, create, scratch, bow, scratch, collect, accumulate, compile, skin, injure, wound, |0.0|.1|13
seam	join, |0.0|.1|1
edit	change, alter, modify, publish, issue, release, cut, change, alter, modify, censor, |0.0|.1|11
prank	decorate, adorn, grace*, |0.0|.1|3
bet	predict, foretell, prognosticate, call, anticipate, promise, play, gamble, count, depend, look, calculate, reckon, trust, swear, rely, bank, |0.0|.1|17
trace	follow, analyze, analyse, study, examine, canvas, draw, line, describe, mark, hunt, chase, trail, tail, tag, dog, track, detect, observe, find, discover, notice, proceed, continue, copy, decipher, read, |0.0|.1|27
assault	assail, attack, rape, violate, dishonour, outrage, assail, attack, attack, round, assail, knock, criticize, criticise^, |0.0|.1|14
acknowledge	admit, declare, hold, receipt, communicate, pass, notice, react, respond, recognize, thank, accept, recognize, know, accept, |0.0|.1|15
shoot	hit, pip, injure, wound, pip, kill, fire, film, take, record, enter, project, cast, throw, dart, dash, scoot, flash, rush, hasten*, speed, race, tear, charge, buck, rush, hasten*, speed, race, hit, photograph, snap, record, enter, emit, smart, hurt^, inject, insert, introduce, weave, throw, fool, consume, squander, waste, ware, score*, hit, tally, utter, emit, measure, sprout, grow, inject, administer, |0.0|.1|57
reef	lower, shrink, reduce, |0.0|.1|3
accession	record, enter, |0.0|.1|2
corner	control, command, tree, steer, manoeuvre, direct, point, head, guide, channelise, turn, |0.0|.1|11
shoo	dispel, |0.0|.1|1
manoeuvre	act, move, steer, direct, point, head, guide, channelise, control, command, operate, move, go, |0.0|.1|13
dissemble	pretend, affect, belie, cloak, mask, disguise, pretend, act, |0.0|.1|8
peg	nail, succeed*, win*, pierce, attach, stabilize, stabilise, |0.0|.1|7
plump	drop, plunk, change, alter, modify, go, choose, take, select, |0.0|.1|9
designate	denominate, delegate, assign, appoint, charge, destine, fate, doom, ordain, intend, destine, specify, plan, |0.0|.1|13
hail	acclaim, herald, come, be, call, herald, greet, recognize, fall, |0.0|.1|9
harbinger	announce, foretell, herald, tell, |0.0|.1|4
leapfrog	jump, leap, bound, spring, progress*, advance, |0.0|.1|6
outshine	shine, beam, surpass, outgo, exceed, outdo, outperform, |0.0|.1|7
seat	sit, put, set, place, pose, position, lay, accommodate, hold, admit, invest, install, supply, provide, furnish, supply, provide, furnish, |0.0|.1|18
enumerate	itemize, name, identify, count, number, determine, find, |0.0|.1|7
whisper	talk, speak, utter, mouth, |0.0|.1|4
badmouth	malign, |0.0|.1|1
fulminate	rail, denounce, appear, explode, |0.0|.1|4
tour	travel, journey, |0.0|.1|2
spare	save, refrain, exempt, relieve, free, give, use, expend, |0.0|.1|8
associate	relate, link, connect, think, affiliate, assort, interact, unite, unify, |0.0|.1|9
nose	intrude, poke, search, look, advance, scent, wind, smell, push, force, caress, overcome, defeat, |0.0|.1|13
wobble	move, shift, tilt, move, shimmy, |0.0|.1|5
certify	attest, demonstrate, evidence, testify, prove, evidence, show, secure, license, licence, authorize, authorise, pass, clear, endorse, guarantee, warrant, declare, hold, |0.0|.1|19
squash	crush, mash, squeeze, press, |0.0|.1|4
grip	seize, clutch, grapple, seize, clutch, fascinate*, interest, |0.0|.1|7
croquet	hit, play, |0.0|.1|2
overdose	drug, dose, |0.0|.1|2
slumber	sleep, rest, |0.0|.1|2
compile	collect, accumulate, store, make, make, |0.0|.1|5
endow	gift, invest, enable, give, gift, present, |0.0|.1|6
rub	guide, run, draw, pass, fray, fret, scratch, touch, meet, contact, scratch, irritate, |0.0|.1|12
doctor	sophisticate, stretch, dilute, treat, repair, mend, fix, restore, better, improve*, |0.0|.1|10
companion	company, accompany, associate, affiliate, assort, |0.0|.1|5
drain	run, flow, feed, course, consume, eat, deplete, exhaust, empty, enfeeble, debilitate, weaken, |0.0|.1|12
mortgage	owe, |0.0|.1|1
caress	touch, |0.0|.1|1
soundproof	insulate, |0.0|.1|1
lampoon	guy, rib, |0.0|.1|2
convene	meet, gather, assemble, summon, |0.0|.1|4
gate	supply, provide, furnish, operate, control, restrict, restrain, limit, bound, confine, |0.0|.1|10
womanise	interact, |0.0|.1|1
griddle	fry, |0.0|.1|1
flavor	season, flavour, |0.0|.1|2
guy	rib, mock, brace, steady, stabilize, stabilise, |0.0|.1|6
bootstrap	help, assist, aid, |0.0|.1|3
dock	enter, deprive, withhold, deduct, recoup, tail, bob, cut, steer, manoeuvre, direct, point, head, guide, channelise, |0.0|.1|15
vend	peddle, hawk, pitch, deal, sell, trade, |0.0|.1|6
fulfil	accomplish*, execute, action, fulfill, complete, finish, effect, meet, satisfy, fill, fulfill, provide, supply, ply, cater, satisfy, fulfill, meet, fit, |0.0|.1|19
chuck	toss, throw, ditch, abandon, caress, vomit, cast, sick, spew, eliminate, pass, |0.0|.1|11
cab	taxi, ride, |0.0|.1|2
boom	sound, go, smash, nail, blast, hit, thunder, sound, go, prosper, thrive, flourish, expand*, grow, |0.0|.1|14
gross	gain, clear, make, earn, realize, realise, |0.0|.1|6
gap	breach, open, |0.0|.1|2
pioneer	introduce, initiate, cause, do, make, explore, |0.0|.1|6
pipe	shout, cry, call, scream, squall, transport, play, decorate, adorn, grace*, |0.0|.1|10
moderate	chair, lead, discuss, decelerate, control, hold, contain, check, curb, restrain, suppress, keep, soften, change, alter, modify, tame, change, alter, modify, temper, change, alter, modify, |0.0|.1|24
knife	stab, injure, wound, |0.0|.1|3
specialize	specialise, narrow, change, alter, vary, specify, specialise, elaborate, enlarge, expand*, specialise, modify, specialise, work, specialise, evolve, |0.0|.1|16
feed	provide, supply, ply, cater, give, provide, supply, ply, cater, supply, provide, furnish, insert, introduce, promote, advance, boost, further, encourage*, eat, consume, take, have, provide, supply, ply, cater, run, flow, course, move, prey, exploit, work, feast, treat, enrich, |0.0|.1|37
conduct	deal, manage, deal, care, handle, lead, direct, perform, execute, do, behave, bear, carry, hold, carry, bear, act, move, transmit, convey, carry, channel, bring, convey, take, lead, take, direct, guide, perform, |0.0|.1|30
white	whiten, colour, color, |0.0|.1|3
bless	raise, conjure, evoke, stir, arouse, bestow, sign, gesture, motion, hallow, declare, |0.0|.1|11
reference	cite, write, pen, |0.0|.1|3
imitate	copy, simulate, reproduce, resemble, copy, |0.0|.1|5
mar	spoil, damage^, maim, |0.0|.1|3
please	delight, satisfy, gratify, wish, care, like, satisfy, gratify, |0.0|.1|8
sophisticate	educate, school, train, cultivate, civilize, twist, convolute, refer, doctor, stretch, dilute, complicate, refine, elaborate, |0.0|.1|14
hiccup	breathe, |0.0|.1|1
waffle	hesitate, waffle, |0.0|.1|2
arrange	put, set, place, pose, position, lay, agree, hold, stage, initiate, pioneer, format, change, dress, set, do, groom, set, write, put, order, organize, organise, |0.0|.1|23
poison	corrupt, demoralise, kill, kill, change, alter, modify, drug, dose, |0.0|.1|9
frighten	fright, scare, stimulate, shake, excite, stir, dispel, |0.0|.1|7
jab	prod, stab, poke, dig, strike, stab, |0.0|.1|6
leak	disclose^, reveal, discover, expose, break, break, issue, emerge, leak, |0.0|.1|9
censor	ban, outlaw, measure, evaluate, assess, value, |0.0|.1|6
pressurise	change, alter, modify, keep, maintain, hold, adjust, set, correct, |0.0|.1|9
splutter	utter, emit, |0.0|.1|2
retire	quit, resign^, withdraw, stop, cease, quit, withdraw, retreat, recede, travel, go, move, recede, withdraw, retreat, recede, recall, withdraw, close^, fold, fire, can, dismiss, sack, terminate, fling, toss, dispose, withdraw, tire, fatigue, toy, play, bed, retire, |0.0|.1|35
itemize	enumerate, name, identify, number, list, |0.0|.1|5
obsess	haunt, ghost, worry, |0.0|.1|3
motor	drive, travel, go, move, |0.0|.1|4
commute	transpose, change, travel, trip, transpose, turn, reverse, convert, exchange, change, alter, modify, change, exchange, convert, replace, |0.0|.1|16
forge	hammer, beat, fake, invent, devise, formulate, advance, progress*, spurt, travel, go, move, shape, form, work, fashion, make, |0.0|.1|17
zinc	coat, surface, |0.0|.1|2
instigate	provoke, stimulate, prompt, inspire, induce, stimulate, cause, have, get, make, |0.0|.1|10
mother	fuss, care, get, father, generate, make, create, |0.0|.1|7
bankroll	fund, |0.0|.1|1
crash	descend, fall, move, clash, pass, disintegrate, occupy, dash, hurtle, cast, change, fail^, die, go, break, |0.0|.1|15
further	foster, promote, advance, boost, encourage*, promote, advance, boost, encourage*, support, |0.0|.1|10
dial	operate, control, choose, take, select, |0.0|.1|5
tattoo	stain, |0.0|.1|1
outgo	surpass, exceed, outdo, outperform, beat, crush, shell, vanquish, |0.0|.1|8
squeeze	squash, crush, mash, press, press, wedge, force, move, displace, coerce, pressure^, force, compel, oblige, obligate, rack, soak, surcharge, pluck, rob, hook, stuff, shove, push, force, pinch, twinge, tweet, grip, embrace, hug, bosom, clasp, compact, contract, press, tighten, |0.0|.1|37
thread	weave, wind, wander, travel, go, move, guide, run, draw, pass, extract, pull, guide, run, draw, pass, string, draw, arrange, |0.0|.1|19
chip	separate, divide, part, nick, cut, shoot, shape, form, work, forge, cut, |0.0|.1|11
narrow	contract, change, specify, determine, specialize, specialise, change, alter, vary, tighten, |0.0|.1|10
skid	slip, slew, slide, raise, lift, slip, slew, slide, glide, |0.0|.1|9
bus	transport, ride, |0.0|.1|2
transit	pass, pass, roll, bring, convey, take, |0.0|.1|6
hunch	|0.0|.1|0
splash	sprinkle, scatter, sprinkle, dot, dust, disperse, slog, pad, scatter, sprinkle, dot, dust, disperse, cover, sound, go, dirty, soil, splash, |0.0|.1|19
raft	transport, travel, go, move, manufacture, construct, |0.0|.1|6
incorporate	integrate, compound, combine, contain, comprise, include, make, create, |0.0|.1|8
brisk	accelerate, speed, quicken, |0.0|.1|3
explore	research, search, investigate, investigate, diagnose, name, diagnose, |0.0|.1|7
sleep	slumber, rest, accommodate, hold, admit, |0.0|.1|5
marble	stain, |0.0|.1|1
recess	put, set, place, pose, position, lay, end, stop, finish, terminate, cease, |0.0|.1|11
rejuvenate*	provoke, stimulate, change, restore, renew, |1.0|.1|5
inveigh	rail, complain, kick, plain, protest, |0.0|.1|5
outfit	equip, fit, supply, provide, furnish, |0.0|.1|5
filter	strain, separate, percolate, trickle, dribble, run, flow, feed, course, |0.0|.1|9
comfort	soothe, console, solace, ease, relieve, alleviate, |0.0|.1|6
map	represent, interpret, explore, locate, plan, project, design, picture, depict, show, represent, commute, transpose, |0.0|.1|13
stir	move, displace, shift, agitate, move, stimulate, excite, stimulate, shake, excite, arouse, elicit, kindle, evoke, fire, raise, provoke, touch, affect, impress, move, strike, raise, conjure, evoke, arouse, make, create, arouse, move, work, |0.0|.1|31
flare	burn, widen, flame, shine, beam, erupt, intensify, deepen, |0.0|.1|8
unclothe	deprive, strip, uncover, expose, strip, peel, |0.0|.1|6
bloom	blossom, flower, develop, |0.0|.1|3
cripple	weaken, lame, maim, |0.0|.1|3
desert	abandon, forsake, leave, flee, fly, |0.0|.1|5
coal	burn, supply, provide, furnish, |0.0|.1|4
except	object, exclude, omit, eliminate, |0.0|.1|4
predispose	dispose, incline, |0.0|.1|2
bosom	hide, conceal, embrace, hug, squeeze, clasp, |0.0|.1|6
crawl	creep, travel, go, move, feel, teem, swarm, creep, bend, flex, swim, |0.0|.1|11
wall	fence, surround, protect, |0.0|.1|3
grope	search, seek, try, seek, attempt, essay, caress, |0.0|.1|7
habit	dress, clothe, apparel, |0.0|.1|3
deteriorate	decay, crumble, drop, worsen^, decline, |0.0|.1|5
port	transfer, turn, land, turn, drink, booze, |0.0|.1|6
harm	injure, wound, |0.0|.1|2
fish	angle, search, seek, catch, grab, |0.0|.1|5
categorize	reason, |0.0|.1|1
spat	fall, attach, hit, strike, acclaim, gesture, motion, dispute, scrap, spawn, gesture, motion, |0.0|.1|12
bully	browbeat, intimidate, browbeat, swagger, cajole, |0.0|.1|5
bull	push, speculate, job, fake, pretend, affect, dissemble, rise, climb, |0.0|.1|9
dribble	trickle, filter, run, flow, feed, course, drip, drop, pour, carry, hit, drool, salivate, |0.0|.1|13
whiten	white, colour, color, |0.0|.1|3
trickle	dribble, filter, run, flow, feed, course, |0.0|.1|6
copper	coat, surface, |0.0|.1|2
mishandle	botch, bumble, blow, spoil, fail^, misconduct, manage, deal, care, handle, |0.0|.1|10
dong	|0.0|.1|0
razor	shave, |0.0|.1|1
construct	build, make, make, create, manufacture, make, trace, draw, line, describe, speculate, suppose, |0.0|.1|12
leash	rope, tie, bind, |0.0|.1|3
bumble	botch, blow, spoil, mishandle, fail^, stumble, falter, walk, falter, talk, speak, utter, mouth, |0.0|.1|13
drape	arrange, arrange, cover, |0.0|.1|3
obstruct	blockade, block, embarrass, prevent, forestall, foreclose^, preclude, forbid, impede, jam, block, impede, block, hide, conceal, |0.0|.1|15
get	acquire, become, go, turn, let, have, make, receive, find, obtain, incur, change, arrive, come, bring, convey, fetch, transmit, transfer, transport, channel, channelise, experience, receive, have, undergo, fix, have, make, score*, hit, tally, induce, stimulate, cause, have, make, catch, capture, seize, clutch, grow, develop, produce, acquire, change, contract, take, communicate, make, change, alter, modify, drive, aim, mean, intend, catch, understand, catch, arrest, attract, pull, draw, catch, hit, acquire, buy, purchase, catch, hear, catch, hurt^, suffer, receive, leave, catch, annoy, rag, bother, irritate, rile, gravel, vex, devil, touch, stir, catch, reproduce, draw, effect, destroy, ruin, vex, stick, puzzle, baffle, beat, pose, bewilder, gravel, amaze, confuse, throw, befuddle, confound, begin, start, commence, suffer, sustain*, have, experience, receive, have, undergo, father, mother, generate, make, create, |0.0|.1|121
polish	smooth, shine, refine, down, better, improve*, round, perfect, hone, |0.0|.1|9
curtain	supply, provide, furnish, |0.0|.1|3
debit	account, calculate, |0.0|.1|2
couch	frame, cast, put, formulate, word, phrase, articulate, |0.0|.1|7
marginalize	marginalise, interact, |0.0|.1|2
egg	coat, surface, |0.0|.1|2
charm	capture, catch, captivate*, beguile, fascinate*, entrance, enchant, attract, appeal, command, protect, influence, tempt, persuade, |0.0|.1|14
evoke	arouse, elicit, kindle, fire, raise, provoke, make, create, provoke, cause, do, make, elicit, extract, interpret, construe, see, raise, conjure, stir, arouse, make, create, suggest, express, show, |0.0|.1|26
dimension	mark, shape, form, |0.0|.1|3
organise	organize, coordinate, arrange, form, organize, make, create, organize, join, organize, manage, deal, care, handle, organize, prepare, devise, initiate, pioneer, engineer, direct, organize, plan, |0.0|.1|23
parody	act, play, represent, spoof, mock, |0.0|.1|5
wail	roar, shout, cry, call, scream, squall, cry, |0.0|.1|7
scatter	disperse, dispel, separate, divide, disperse, separate, part, split, sprinkle, dot, dust, disperse, seed, disperse, spread, circulate, distribute, |0.0|.1|17
converge	meet, approach, meet, gather, assemble, unify, unite, merge, |0.0|.1|8
minimize	minimise, decrease^, lessen, understate, minimise, downplay, inform, |0.0|.1|7
perch	rest, sit, alight, light, land, put, set, place, pose, position, lay, |0.0|.1|11
chock	fix, secure, hold, support, sustain*, |0.0|.1|5
chime	sound, go, |0.0|.1|2
ruin	destroy, spoil, cross, frustrate, baffle, bankrupt, break, smash, impoverish^, waste, devastate, ravage, mate, pair, couple, decay, crumble, |0.0|.1|17
distribute	administer, deal, lot, allot, give, spread, transfer, give, gift, present, circulate, move, displace, circulate, disseminate, broadcast, spread, disperse, publicize, air, bare, spread, scatter, exist, be, be, stagger, arrange, |0.0|.1|28
poach	hunt, run, cook, |0.0|.1|3
convolute	flex, bend, twist, turn, twist, sophisticate, refer, |0.0|.1|7
override	overturn, overthrow, reverse, rule, decree, dominate, rule, reign, prevail, counteract, countervail, ride, sit, |0.0|.1|13
merge	unify, unite, integrate, blend, flux, mix, combine, unite, unify, change, alter, modify, |0.0|.1|12
ferret	hunt, trace, hunt, run, discover, find, |0.0|.1|6
relocate	move, move, displace, |0.0|.1|3
merchandise	trade, merchandise, |0.0|.1|2
spike	relegate, bar, pierce, fix, secure, develop, lace, change, alter, modify, increase, |0.0|.1|11
sever	separate, disunite, divide, part, cut, |0.0|.1|5
fledge	raise, nurture, parent, flight, decorate, adorn, grace*, feather, grow, develop, produce, get, acquire, |0.0|.1|13
discredit	dismiss, disregard, discount, ignore, disgrace*, reject, |0.0|.1|6
attract	pull, draw, pull, draw, force, pull, appeal, |0.0|.1|7
envelop	wrap, cover, |0.0|.1|2
shy	startle, jump, start, throw, |0.0|.1|4
overvalue	value, |0.0|.1|1
cube	multiply, cut, |0.0|.1|2
supply	provide, furnish, give, issue, distribute, provide, ply, cater, give, add, state, say, tell, |0.0|.1|13
ensure	guarantee, insure, assure*, secure, see, check, insure, control, assure*, verify, |0.0|.1|10
pepper	attack, assail, |0.0|.1|2
assort	associate, affiliate, interact, classify, class, sort, separate, categorize, |0.0|.1|8
wed	marry, espouse, unite, unify, marry, tie, |0.0|.1|6
grain	paint, form, |0.0|.1|2
indulge	gratify, provide, supply, ply, cater, consume, eat, deplete, exhaust, pamper, baby, coddle, spoil, treat, handle, |0.0|.1|15
regulate	adjust, set, correct, order, govern, decide, determine, determine, shape, influence, cause, do, make, baffle, restrict, restrain, limit, bound, confine, |0.0|.1|19
discourse	discuss, cover, treat, handle, deal, address, talk, speak, talk, speak, |0.0|.1|10
key	identify, discover, describe, name, supply, provide, furnish, reconcile, |0.0|.1|8
aggregate	come, amount, combine, mix, mingle, unify, |0.0|.1|6
globalise	widen, broaden, extend, |0.0|.1|3
accumulate	collect, compile, store, conglomerate, gather, increase, |0.0|.1|6
redesign	design, plan, |0.0|.1|2
darn	repair, mend, fix, doctor, restore, |0.0|.1|5
allure	tempt, invite, bid, |0.0|.1|3
snare	trap, capture, catch, hook, entice, lure, tempt, |0.0|.1|7
let	allow, permit, induce, stimulate, cause, have, get, make, permit, allow, accept, consent, get, have, make, get, leave, lease, rent, give, |0.0|.1|20
alternate	jump, change, alter, vary, exchange, con, learn, interchange, tack, switch, turn, reverse, act, move, |0.0|.1|14
clamp	fix, secure, visit, impose, |0.0|.1|4
shove	jostle, push, force, push, force, stuff, squeeze, push, force, |0.0|.1|9
mint	coin, strike, |0.0|.1|2
flux	flow, move, liquefy, blend, mix, combine, merge, |0.0|.1|7
whelm	overcome, overtake, arouse, elicit, kindle, evoke, fire, raise, provoke, |0.0|.1|9
wreck	destroy, ruin, |0.0|.1|2
google	research, search, explore, |0.0|.1|3
candle	examine, see, |0.0|.1|2
scuttle	run, |0.0|.1|1
scalp	sell, remove, take, withdraw, |0.0|.1|4
invade	occupy, attack, assail, enter, overrun, inhabit, occupy, |0.0|.1|7
engorge	gorge, glut, stuff, eat, |0.0|.1|4
specify	stipulate, qualify, condition, contract, undertake, define, be, set, determine, fix, limit, choose, take, select, specialize, specialise, elaborate, enlarge, expand*, narrow, determine, intend, destine, designate, plan, assign, choose, take, select, |0.0|.1|29
waltz	dance, |0.0|.1|1
jimmy	prise, prize, lever, open, |0.0|.1|4
harass	hassle, harry, chevy, beset^, plague, provoke, annoy, rag, bother, irritate, rile, gravel, vex, devil, attack, |0.0|.1|15
alien	transfer, change, alter, modify, |0.0|.1|4
phase	stage, arrange, synchronize, |0.0|.1|3
grub	obtain, search, seek, |0.0|.1|3
