yellow	colour, color, |0.0|.1|2
threaten^	endanger, jeopardise, menace, imperil, peril, exist, be, warn, bode, prognosticate, betoken, foretell, forecast, predict, |-1.0|.1|14
survey	analyze, analyse, study, examine, canvas, examine, see, follow, review, inspect, analyze, analyse, study, examine, canvas, calculate, compute, reckon, figure, |0.0|.1|19
sheet	pour, stream, cover, |0.0|.1|3
estimate	gauge, guess, judge, calculate, compute, reckon, figure, calculate, reckon, figure, forecast, evaluate, judge, |0.0|.1|13
knit	join, wrinkle, crisp, |0.0|.1|3
spurn	reject, scorn, refuse, decline, |0.0|.1|4
shelve	postpone, table, defer, delay, put, set, place, pose, position, lay, |0.0|.1|10
reshuffle	shuffle, mix, rearrange, |0.0|.1|3
grace*	decorate, adorn, change, alter, modify, deck, adorn, decorate, be, |1.0|.1|9
ship	transport, send, move, displace, hire, engage, employ, embark, board, travel, journey, put, set, place, pose, position, lay, |0.0|.1|17
tempt	allure, invite, bid, entice, lure, provoke, stimulate, invite, stimulate, shake, excite, stir, charm, influence, persuade, arouse, sex, excite, persuade, |0.0|.1|19
gear	pitch, adapt*, accommodate, |0.0|.1|3
quantify	specify, set, determine, fix, limit, measure, carry, convey, express, |0.0|.1|9
channel	conduct, transmit, convey, carry, bring, convey, take, steer, manoeuvre, direct, point, head, guide, channelise, transmit, transfer, transport, channelise, move, displace, |0.0|.1|20
wash	rinse, serve, process, clean, launder, clean, move, displace, be, stand, separate, cover, remove, take, withdraw, erode, fret, flow, clean, |0.0|.1|19
spin	reel, rotate, stream, rotate, manufacture, invent, twist, distort, present, represent, prolong, extend, |0.0|.1|12
renovate	renew, refurbish, renew, animate, revive, repair, quicken, stimulate, arouse, brace, energize, |0.0|.1|11
service	serve, function, work, operate, go, run, tune, serve, mate, pair, couple, |0.0|.1|11
need	necessitate, ask, require, take, involve, demand, want, require, be, need, |0.0|.1|10
master*	know, overcome, subdue, overcome, defeat, dominate, control, command, control, know, |1.0|.1|10
list	name, enumerate, itemize, register, number, name, identify, lean, move, heel, lean, tilt, tip, angle, |0.0|.1|14
bitter	|0.0|.1|0
range	run, be, roll, wander, swan, stray, roam, cast, ramble, drift, travel, go, move, constitute, represent, comprise, be, array, crop, browse, graze, feed, eat, feed, give, rate, rank, order, grade, place, evaluate, judge, |0.0|.1|32
listen	perceive, hear, concentrate, focus, center, centre, rivet, mind, |0.0|.1|8
collapse^	give, break, founder, change, suffer, sustain*, have, get, fold, crumble, tumble, burst, crack, suffer, sustain*, have, get, weaken, |-1.0|.1|18
dip	plunge, douse, plunge, eat, decline, wane, stain, dim, lower, sink, decline, slope, incline, pitch, douse, duck, plunge, douse, plunge, scoop, |0.0|.1|20
wax	cover, mount, climb, rise, increase, full, increase, |0.0|.1|7
expand*	grow, grow, enlarge, boom, prosper, thrive, flourish, grow, inflate, amplify, increase, elaborate, enlarge, clarify, extend, change, alter, modify, |1.0|.1|18
peril	endanger, jeopardise, menace, threaten^, be, expose, endanger, affect, impact, touch, |0.0|.1|10
show	exhibit, present, demonstrate, prove, demonstrate, establish, confirm, corroborate, sustain*, support, affirm, testify, prove, evidence, inform, picture, depict, represent, interpret, express, convey, indicate, point, inform, reveal, display, communicate, pass, appear, read, register, record, indicate, read, register, record, usher, lead, take, direct, conduct, guide, race, run, |0.0|.1|44
handcuff	|0.0|.1|0
tree	corner, steer, manoeuvre, direct, point, head, guide, channelise, plant, set, chase, trail, tail, tag, dog, track, stretch, |0.0|.1|17
crave	starve, lust, desire, want, beg, implore, pray, |0.0|.1|7
idle^	slug, stagnate, |-1.0|.1|2
feel	experience, find, reason, conclude, sense, perceive, be, think, believe, consider, conceive, experience, undergo, see, look, appear, seem, search, seek, finger, touch, find, regain, look, appear, seem, touch, |0.0|.1|27
recommend*	urge, advocate, propose, suggest, advise, praise, change, alter, modify, |1.0|.1|9
cause	do, make, make, create, induce, stimulate, have, get, make, |0.0|.1|9
absorb	learn, acquire, fund, suck, draw, blend, flux, mix, combine, merge, steep, engulf, plunge, engross, concentrate, focus, center, centre, rivet, receive, invite, engross, engage, occupy, interest, |0.0|.1|25
orphan	deprive, strip, |0.0|.1|2
commit	perpetrate, pull, act, move, give, dedicate, devote, use, utilize, utilise, apply, employ, send, charge, transfer, entrust, trust, confide, pass, hand, reach, give, invest, put, place, spend, expend, drop, |0.0|.1|28
thrill	stimulate, excite, stir, stimulate, shake, excite, stir, shudder, shiver, tremble, |0.0|.1|10
object	reject, be, |0.0|.1|2
vex	annoy, rag, bother, irritate, rile, gravel, devil, worry, trouble, distract, disorder, agitate, disturb, move, displace, debate, deliberate, stick, get, puzzle, baffle, beat, pose, bewilder, gravel, amaze, confuse, throw, befuddle, confound, |0.0|.1|30
mouth	talk, speak, utter, communicate, pretend, affect, dissemble, touch, |0.0|.1|8
letter	earn, garner, print, impress, write, |0.0|.1|5
concede^	profess, confess, admit, acknowledge, yield, grant, agree, hold, yield, cede, grant, give, surrender, |-1.0|.1|13
retain	hold, bear, carry, contain, continue, keep, prolong, sustain*, hold, keep, remember, |0.0|.1|11
sulk	|0.0|.1|0
redress	right, compensate, correct, change, alter, modify, |0.0|.1|6
laugh	|0.0|.1|0
email	|0.0|.1|0
camp	tent, live, inhabit, pitch, change, alter, modify, |0.0|.1|7
come	travel, go, move, arrive, get, happen, occur, pass, change, follow, originate, arise*, rise, develop, uprise, grow, exist, be, hail, be, run, go, pass, lead, extend, be, derive, descend, travel, go, move, fall, be, result, total, number, amount, be, amount, arrive, get, occur, do, fare, proceed, go, experience, undergo, see, rank, |0.0|.1|50
say	state, tell, express, utter, allege, aver, assert, maintain, suppose, speculate, read, have, feature, express, utter, order, tell, request, pronounce, articulate, enunciate, convey, read, register, show, record, |0.0|.1|26
slum	visit, see, |0.0|.1|2
bomb	attack, assail, fail^, |0.0|.1|3
depart	go, exit, leave, vary, diverge, differ, part, start, leave, quit, leave, leave, change, digress, divert, |0.0|.1|15
reschedule	schedule, |0.0|.1|1
gauge	estimate, guess, judge, calculate, compute, reckon, figure, rub, determine, find, quantify, measure, standardize, blend, flux, mix, combine, merge, |0.0|.1|18
touch	perceive, stir, affect, impress, move, strike, refer, pertain, relate, concern, meet, contact, affect, impact, change, alter, modify, manage, deal, care, handle, reach, be, equal, rival, match, compete, vie, contend, disturb, change, alter, modify, allude, hint, suggest, understand, partake, consume, take, have, tint, color, colour, |0.0|.1|44
busy	occupy, work, |0.0|.1|2
click	snap, move, tick, sound, go, chatter, sound, go, snap, move, pronounce, articulate, enunciate, say, utter, emit, dawn, |0.0|.1|17
headline	advertise, publicize, supply, provide, furnish, |0.0|.1|5
decry^	condemn, denounce, |-1.0|.1|2
bust^	break, destroy, ruin, raid, attack, assail, tear, snap, separate, disunite, divide, part, break, wear, decay, crumble, burst, break, separate, |-1.0|.1|19
appreciate*	acknowledge, recognize, understand, realize, realise, see, prize, value, treasure, see, consider, reckon, view, regard, revalue, increase, revalue, |1.0|.1|17
skirmish	contend, fight, struggle, |0.0|.1|3
bush	supply, provide, furnish, |0.0|.1|3
mend	repair, fix, doctor, restore, better, improve*, better, improve*, |0.0|.1|8
rice	sift, sieve, strain, |0.0|.1|3
plate	coat, surface, |0.0|.1|2
pocket	take, bag, steal, |0.0|.1|3
lurch	stagger, reel, walk, pitch, shift, move, travel, go, move, lounge, loaf, linger, lurk, overcome, defeat, |0.0|.1|15
green	colour, color, |0.0|.1|2
patch	piece, join, supply, provide, furnish, repair, mend, fix, doctor, restore, piece, repair, mend, fix, doctor, restore, |0.0|.1|16
release	relinquish, free, loose, turn, transmit, transfer, transport, channel, channelise, expel, eject, publish, issue, publicize, air, bare, secrete, exude, ooze, free, issue, supply, relinquish, resign^, free, pass, hand, reach, give, free, issue, supply, |0.0|.1|32
hasten*	rush, hurry, act, move, rush, speed, race, travel, go, move, expedite, help, assist, aid, induce, stimulate, rush, effect, |1.0|.1|18
board	enter, room, live, inhabit, use, provide, supply, ply, cater, |0.0|.1|9
circle	travel, go, move, circulate, travel, go, move, surround, ring, hold, bear, carry, contain, form, |0.0|.1|14
respond	react, act, move, answer, reply, state, say, tell, react, respond, |0.0|.1|10
fair	join, |0.0|.1|1
clarify	explain, change, alter, modify, |0.0|.1|4
deem	hold, see, consider, reckon, view, regard, |0.0|.1|6
recruit	enroll, enter, enrol, register, engage, enlist, levy, raise, enlist, draft, |0.0|.1|10
result	prove, leave, lead, produce, |0.0|.1|4
fail^	neglect, betray, disappoint, die, go, break, change, evaluate, judge, bomb, worsen^, decline, |-1.0|.1|12
resign^	quit, quit, leave, depart, release, relinquish, free, pass, hand, reach, give, reconcile, submit, accept, |-1.0|.1|14
hammer	beat, forge, beat, |0.0|.1|3
best	outdo, trump, scoop, beat, crush, shell, vanquish, |0.0|.1|7
pressure^	coerce, squeeze, force, compel, oblige, obligate, influence, work, |-1.0|.1|8
ambition	desire, want, |0.0|.1|2
lot	divide, split, separate, distribute, administer, deal, give, |0.0|.1|7
stamp	walk, impress, qualify, characterise, stereotype, classify, class, sort, assort, separate, shape, form, work, forge, squash, crush, mash, squeeze, boss, impress, |0.0|.1|20
score*	hit, tally, gain, advance, win*, mark, notch, mark, record, enter, write, make, persuade, achieve, accomplish*, attain, reach, grade, mark, measure, evaluate, assess, value, |1.0|.1|23
scorn	hate^, reject, spurn, refuse, decline, |0.0|.1|5
pillory	expose, exhibit, display, punish, penalize, penalise, savage, knock, criticize, criticise^, |0.0|.1|10
pirate	steal, hijack, seize, |0.0|.1|3
preserve*	continue, uphold, keep, maintain, hold, conserve, maintain, keep, save, keep, keep, cook, fix, ready, make, prepare, keep, protect, keep, maintain, hold, |1.0|.1|21
discipline	train, check, condition, develop, correct, punish, penalize, penalise, |0.0|.1|8
parallel	match, fit, correspond, check, gibe, tally, agree, change, alter, modify, twin*, match, fit, correspond, check, gibe, tally, agree, |0.0|.1|18
extend	widen, broaden, increase, run, go, pass, lead, be, cover, continue, be, offer, supply, provide, furnish, gesture, motion, be, offer, give, pay, stretch, tense, strain, expand*, change, alter, modify, prolong, lengthen, unfold, stretch, ride, sit, strain, use, utilize, utilise, apply, employ, prolong, carry, continue, stretch, increase, |0.0|.1|45
roll	turn, wheel, travel, go, move, sound, go, wind, wrap, move, displace, function, work, operate, go, run, shape, form, tumble, pluck, steal, wave, move, wander, swan, stray, roam, cast, ramble, range, drift, travel, go, move, rock, sway, shake, move, displace, pronounce, articulate, enunciate, say, seethe, churn, boil, roil, change, |0.0|.1|48
personalize	personalise, change, alter, modify, |0.0|.1|4
twinkle	flash, blink, winkle, winkle, shine, beam, |0.0|.1|6
heist	burglarise*, steal, |0.0|.1|2
affiliate	join, associate, assort, interact, join, |0.0|.1|5
