yellow	  1,discolor, discolour, colour, color
show	  1, demo, exhibit, present, demonstrate,2,prove, demonstrate, establish,  shew,confirm, corroborate, sustain, substantiate, support, affirm,3,testify, bear witness, prove, evidence, inform,4,5,picture, depict, render, represent, interpret,6,express,  evince,convey, impart,7,indicate, point, inform,8,reveal, display, communicate, pass on, pass, pass along, put across,9, show up,appear,10,read, register,  record,indicate,11,read, register,  record,12,usher, lead, take, direct, conduct, guide,13,race, run
handcuff	  1,manacle, cuff, fetter, shackle
tree	  1,corner, steer, maneuver, manoeuver, manoeuvre, direct, point, head, guide, channelize, channelise,2,plant, set,3,chase, chase after, trail, tail, tag, give chase, dog, go after, track,4, shoeelongate, stretch
crave	  1, hunger, thirst, starve, lust,desire, want,2,beg, implore, pray
idle	  1, tick over,2, laze, slug, stagnate
feel	  1, experience,2,find, reason, reason out, conclude,3, sense,perceive, comprehend,4,be,5,think, believe, consider, conceive,6,experience, undergo, see, go through,7,look, appear, seem,8,search, seek, look for,9, finger,10,palpate, touch,11,find, regain,12,look, appear, seem,13,touch
recommend	  1, urge, advocate,propose, suggest, advise,2,commend, praise,3,change, alter, modify
cause	  1, do, make,make, create,2,induce, stimulate,  have, get, make
absorb	  1,sorb, take up,2, assimilate, ingest, take in,learn, larn, acquire,3, take over,fund,4, suck, imbibe, soak up, sop up, suck up, draw, take in, take up,5,blend, flux, mix, conflate, commingle, immix, fuse, coalesce, meld, combine, merge,6, take in,7,steep, immerse, engulf, plunge, engross,  soak up,concentrate, focus, center, centre, pore, rivet,8,receive, take in, invite,9, engross, engage, occupy,interest
orphan	  1,deprive, strip, divest
commit	  1,perpetrate,  pull,act, move,2,give, dedicate, consecrate,  devote,use, utilize, utilise, apply, employ,3, institutionalize, institutionalise, send, charge,transfer,4,entrust, intrust, trust, confide, pass, hand, reach, pass on, turn over, give,5,invest, put,  place,spend, expend, drop
thrill	  1,stimulate, excite, stir,2, tickle, vibrate,stimulate, shake, shake up, excite, stir,3,shudder, shiver, throb, tremble,4,exhilarate, inebriate,  exalt, beatify,elate, lift up, uplift, pick up, intoxicate
object	  1,disapprove, reject,2,be
vex	  1,annoy, rag, get to, bother, get at, irritate, rile, nark, nettle, gravel,  chafe, devil,displease,2,worry, perturb, unhinge, disquiet, trouble, cark, distract, disorder,3,agitate,  disturb, commove, shake up, stir up, raise up,move, displace,4,debate, deliberate,5,perplex,  stick, get, puzzle, mystify, baffle, beat, pose, bewilder, flummox, stupefy, nonplus, gravel, amaze, dumbfound,confuse, throw, fox, befuddle, fuddle, bedevil, confound, discombobulate
mouth	  1,talk, speak, utter,  verbalize, verbalise,communicate, intercommunicate,2,feign, sham, pretend, affect, dissemble,3,touch
letter	  1,earn, garner,2,print, impress,3,write
concede	  1, profess, confess,admit, acknowledge,2, yield, grant,agree, hold, concur, concord,3, yield, cede, grant,give,4,surrender, give up
retain	  1,hold, bear, carry, contain,2, continue, keep, keep on, keep going,prolong, sustain, keep up,3, hold, keep back, hold back,keep, hold on,4,remember, think of
sulk	  1, pout, brood
redress	  1,right, compensate,  correct,change, alter, modify
laugh	  1, express joy, express mirth,express emotion, express feelings
email	  1,e-mail,  netmail,telecommunicate
camp	  1, en camp out, bivouac, tent,dwell, live, inhabit,2, camp down,pitch, set up,3,change, alter, modify
come	  1, come up,travel, go, move, locomote,2,arrive, get, 3,happen, hap, go on, pass off, occur, pass, fall out, come about, take place,4,change,5, follow,originate, arise, rise, develop, uprise, spring up, grow,6,exist, be,7,issue forth, 8,hail, be,9,run, go, pass, lead, extend,10,be,11,derive,  descend,12,travel, go, move, locomote,13,fall, be,14,result, ensue,15,total, number, add up,  amount,be,16, add up, amount,be turn,17, come in,arrive, get, 18,occur, be19,do, fare, make out,  get along,proceed, go,20,experience, undergo, see, go through,21,rank
say	  1,state,  tell,express, verbalize, verbalise, utter, give tongue to,2,allege, aver, assert, asseverate, maintain,3,suppose, speculate,4,read, have, feature,5,6,express, verbalize, verbalise, utter, give tongue to,7,order, tell, enjoin, request,8,pronounce, articulate, enounce, sound out, enunciate, 9,recite,10,convey, impart,11,read, register, show, record
slum	  1,visit, see
bomb	  1,bombard, attack, assail,2,fail, flunk,  flush it
depart	  1,go, go away, exit, go out, get out, leave,2,deviate, vary, diverge, differ,3, part, start, start out, set forth, set off, set out, take off,leave, go forth, go away,4, take leave, quit,leave, go forth, go away,5,leave,  pull up stakes,change,6,sidetrack,  digress, straggle,deviate, divert
reschedule	  1,schedule
gauge	  1,estimate,  approximate, guess, judge,calculate, cipher, cypher, compute, work out, reckon, figure,2,rub,3,determine, find, find out, ascertain,4,quantify, measure,5,standardize, standardise,6,blend, flux, mix, conflate, commingle, immix, fuse, coalesce, meld, combine, merge
tempt	  1, allure,invite, bid,2,entice, lure, provoke, stimulate,3, invite,stimulate, shake, shake up, excite, stir,4,charm, influence, persuade,5,arouse, sex, excite, turn on, wind up,6,persuade
touch	  1,2,perceive, comprehend,3, stir,affect, impress, move, strike,4,refer, pertain, relate, concern, come to, bear on,  touch on,5, adjoin, meet, contact,6,affect, impact, bear upon, bear on, touch on, change, alter, modify,7,manage, deal, care, handle,8,9,reach, extend to, be,10,equal,  rival, match,compete, vie, contend,11, disturb,change, alter, modify,12,allude,  advert,hint, suggest,13,understand,14,partake, consume, ingest, take in, take, have,15,tint, tinct, tinge, color, colorize, colorise, colourise, colourize, colour, color in, colour in
busy	  1, occupy,work
click	  1,snap, move,2, tick,sound, go,3,chatter, sound, go,4,snap,  flick,move,5,pronounce, articulate, enounce, sound out, enunciate, say,6,cluck,  clack,utter, emit, let out, let loose,7, get through, dawn, come home, get across, sink in, penetrate, fall into place
headline	  1,advertise, publicize, advertize, publicise,2,supply, provide, render, furnish
decry	  1,condemn, reprobate,  objurgate, excoriate,denounce
bust	  1,break, destroy, ruin,2,raid, attack, assail,3,tear, rupture, snap, separate, disunite, divide, part,4,break, wear, wear out,  fall apart,decay, crumble, delapidate,5,burst, break, separate, split up, fall apart, come apart
appreciate	  1,acknowledge, recognize, recognise,2, take account,understand, realize, realise, see,3,prize, value, treasure, see, consider, reckon, view, regard,4, apprize, apprise, revalue,increase,5, apprize, apprise,revalue
skirmish	  1,contend, fight, struggle
bush	  1,supply, provide, render, furnish
touch	  1,2,perceive, comprehend,3, stir,affect, impress, move, strike,4,refer, pertain, relate, concern, come to, bear on,  touch on,5, adjoin, meet, contact,6,affect, impact, bear upon, bear on, touch on, change, alter, modify,7,manage, deal, care, handle,8,9,reach, extend to, be,10,equal,  rival, match,compete, vie, contend,11, disturb,change, alter, modify,12,allude,  advert,hint, suggest,13,understand,14,partake, consume, ingest, take in, take, have,15,tint, tinct, tinge, color, colorize, colorise, colourise, colourize, colour, color in, colour in
mend	  1,repair,  fix, bushel, doctor, furbish up, restore, touch on,better, improve, a ameliorate, meliorate,2, heal,better, improve, ameliorate, meliorate
rice	  1,sift, sieve, strain
plate	  1,coat, surface
ring	  1, peal,sound, go,2,resound, echo,  reverberate,sound, go,3, knell,sound,4,surround, environ, encircle, circle, round, hold, bear, carry, contain,5,call, telephone, call up, phone, telecommunicate,6, band,attach
pocket	  1,take,2, bag,steal
lurch	  1,stagger, reel, keel,  swag, careen,walk,2, pitch, shift,move,3,travel, go, move, locomote,4,prowl, loiter, lounge, footle, lollygag, loaf, lallygag, hang around, mess about, tarry, linger, lurk, mill about, mill around,5, skunk,get the better of, overcome, defeat
green	  1,discolor, discolour, colour, color
dip	  1,dunk,  souse, plunge, douse,immerse, plunge,2,dunk, eat,3,decline, go down, wane,4,stain,5,dim, change intensity,6,lower, take down, let down, get down, bring down,7, sink,decline,8,slope, incline, pitch,9, douse, duck,dunk,  souse, plunge, douse,10,create from raw material, create from raw stuff,11,immerse, plunge,12,scoop, scoop out, lift out, scoop up, take up
patch	  1, piece,join, conjoin,2,supply, provide, render, furnish,3, patch up,repair, mend, fix, bushel, doctor, furbish up, restore, touch on,4,piece, repair, mend, fix, bushel, doctor, furbish up, restore, touch on
lurch	  1,stagger, reel, keel,  swag, careen,walk,2, pitch, shift,move,3,travel, go, move, locomote,4,prowl, loiter, lounge, footle, lollygag, loaf, lallygag, hang around, mess about, tarry, linger, lurk, mill about, mill around,5, skunk,get the better of, overcome, defeat
release	  1,let go of, let go,  relinquish,2,free, liberate,  unloose, unloosen, loose,3,turn, transmit, transfer, transport, channel, channelize, channelise,4,discharge, expel, eject, 5,publish, bring out, put out, issue, publicize, publicise, air, bare,6,secrete, exude, exudate, transude, ooze out, ooze,7,free, issue, supply,8, relinquish, resign, free, give up,pass, hand, reach, pass on, turn over, give,9,unblock, unfreeze, free, issue, supply
hasten	  1,rush,  hurry, look sharp, festinate,act, move,2,rush, hotfoot,  hie, speed, race, pelt along, rush along, cannonball along, bucket along, belt along,travel, go, move, locomote,3,expedite, help, assist, aid,4,induce, stimulate, rush, effect, effectuate, set up
board	  1, get on,enter, come in, get into, get in, go into, go in, move into,2, room,dwell, live, inhabit,3,use, habituate,4,provide, supply, ply, cater
circle	  1,travel, go, move, locomote,2, circulate,travel, go, move, locomote,3,surround, environ, en  round, ring,hold, bear, carry, contain,4,en shape, form
respond	  1,react, act, move,2,answer, reply, state, say, tell,3,react, respond
fair	  1,join, bring together
clarify	  1, clear up, elucidate,explain, explicate,2,change, alter, modify
deem	  1, hold, view as, take for,see, consider, reckon, view, regard
recruit	  1,enroll, inscribe, enter, enrol, register,2,engage, enlist,3, levy, raise,enlist, draft, muster in
result	  1, ensue,prove, turn out, turn up,2,leave,  lead,produce, bring about, give rise
fail	  1, neglect,2, go wrong, miscarry,3, betray,disappoint, let down,4, go bad, give way, die, give out, conk out, go, break, break down,change,5,6,evaluate, pass judgment, judge,7, flunk, bomb, flush it,8,9,10, run out, give out,11,worsen, decline
resign	  1,vacate,  renounce, give up,leave office, quit, step down, 2,leave office, quit, step down, leave, depart, pull up stakes,3,release, relinquish,  free, give up,pass, hand, reach, pass on, turn over, give,4, reconcile, submit,accept
hammer	  1,beat,2,forge, beat
best	  1,outdo, outflank, trump,  scoop,beat, beat out, crush, shell, trounce, vanquish
pressure	  1,coerce, hale, squeeze,  force,compel, oblige, obligate,2,blackmail, blackjack, influence, act upon, work
ambition	  1,desire, want
lot	  1,divide, split, split up, separate, dissever, carve up,2,distribute, administer, mete out, deal, parcel out,  dispense, shell out, deal out, dish out, al dole out,give
ring	  1, peal,sound, go,2,resound, echo,  reverberate,sound, go,3, knell,sound,4,surround, environ, encircle, circle, round, hold, bear, carry, contain,5,call, telephone, call up, phone, telecommunicate,6, band,attach
pressure	  1,coerce, hale, squeeze,  force,compel, oblige, obligate,2,blackmail, blackjack, influence, act upon, work
stamp	  1,stomp,  stump,walk,2,impress, imprint,3,qualify, characterize, characterise,4,affix, stick on,5,pigeonhole, stereotype, classify, class, sort, assort, sort out, separate,6,snuff out, extinguish,7,shape, form, work, mold, mould, forge,8,squash, crush, squelch, mash, squeeze,9,emboss, boss, impress, imprint
score	  1, hit, tally, rack up,gain, advance, win, pull ahead, make headway, get ahead, gain ground,2, nock, mark,notch,3, mark,record, enter, put down,4,compose, write,5,seduce,  make,persuade,6,achieve, accomplish, attain, reach,7,grade,  mark,measure, evaluate, valuate, assess, appraise, value
scorn	  1,contemn, despise,  disdain,hate, detest,2,reject, spurn, freeze off,  pooh-pooh, disdain, turn down,refuse, decline
pillory	  1, gibbet,expose, exhibit, display,2,punish, penalize, penalise,3,savage,  crucify,knock, criticize, criticise, pick apart
pirate	  1,steal,2,commandeer, hijack, highjack, seize
preserve	  1,continue, uphold, carry on, bear on, keep, maintain, hold,2,conserve,  maintain, keep up,keep,3,save, keep, hold on,4, keep,cook, fix, ready, make, prepare,5,keep, protect,6,keep, maintain, hold
discipline	  1, train, check, condition,develop, make grow,2, correct, sort out,punish, penalize, penalise
parallel	  1,match, fit, correspond, check, jibe, gibe, tally, agree,2, collimate,change, alter, modify,3,twin, duplicate, match, fit, correspond, check, jibe, gibe, tally, agree
extend	  1,widen, broaden, increase,2,run, go, pass, lead, be,3,cover, continue, be,4, offer,supply, provide, render, furnish,5,exsert, stretch out, put out,  hold out, stretch forth,gesticulate, gesture, motion,6, poke out, reach out,be,7,offer, give, pay,8,stretch, tense, strain, tense up,9, expand,change, alter, modify,10,prolong, protract,  draw out,lengthen,11,unfold, stretch, stretch out, change shape, change form, deform,12,gallop, ride, sit,13,straighten, straighten out,14,strain, use, utilize, utilise, apply, employ,15,prolong, protract,  draw out,16,carry, continue,17, stretch,increase
roll	  1, turn over,turn,2,wheel, travel, go, move, locomote,3, undulate,4,roll out, flatten,5,sound, go,6,wind, wrap,  twine,move, displace,7,function, work, operate, go, run,8,shape, form,9,tumble,10,hustle, pluck, steal,11, undulate, flap, wave,move,12, wander, swan, stray, tramp, roam, cast, ramble, rove, range, drift, vagabond,travel, go, move, locomote,13,rock, sway, shake,14, revolve,move, displace,15,pronounce, articulate, enounce, sound out, enunciate, say,16,seethe, churn, boil, moil, roil,17,change shape, change form, deform,18, roll up,change
