yellow	  1,discolor, discolour, colour, color
freeze	  1,change state, turn,2, stop dead,stand still,3,suffer,4,change, alter, modify,5, suspend,interrupt, break,6,7, freeze out, freeze down,solidify,8, block, immobilize, immobilise,withhold, keep back,9,anesthetize, anaesthetize, anesthetise, anaesthetise, put to sleep, put under, put out,10,act, behave, do
encourage	  1,promote, advance, boost, further, support, back up,2,inspire, animate, invigorate, enliven, exalt,3,induce, stimulate, cause, have, get, make
adapt	  1, accommodate,change, alter, vary,2,adjust, conform, change
engineer	  1,design, plan,2,mastermind,  direct, organize, organise, orchestrate,plan
assure	  1,guarantee, ensure, insure,  secure,2, tell,affirm, verify, assert, avow, aver, swan, swear,3,persuade,4,see, check, insure, see to it, ensure, control, ascertain, verify,5,re calm, calm down, quiet, tranquilize, tranquillize, tranquillise, quieten, lull, still,6,promise, declare
threaten	  1,endanger, jeopardize, jeopardise, menace,  imperil, peril,exist, be,2,warn,3,bode, portend, auspicate, prognosticate, omen, presage, betoken, foreshadow, augur, foretell, prefigure, forecast, predict
survey	  1, appraise,analyze, analyse, study, examine, canvass, canvas,2,examine, see,3,surveil, follow, 4,review, go over, inspect,5,analyze, analyse, study, examine, canvass, canvas,6,calculate, cipher, cypher, compute, work out, reckon, figure
assure	  1,guarantee, ensure, insure,  secure,2, tell,affirm, verify, assert, avow, aver, swan, swear,3,persuade,4,see, check, insure, see to it, ensure, control, ascertain, verify,5,re calm, calm down, quiet, tranquilize, tranquillize, tranquillise, quieten, lull, still,6,promise, declare
sheet	  1,pour, pelt, stream, rain cats and dogs, rain buckets,2,cover
estimate	  1, gauge, approximate, guess, judge,calculate, cipher, cypher, compute, work out, reckon, figure,2,calculate,  reckon, count on, figure, forecast,evaluate, pass judgment, judge
knit	  1,create from raw material, create from raw stuff,2, entwine,join, conjoin,3,pucker, rumple, cockle, crumple, wrinkle, ruckle, crease, crinkle, scrunch, scrunch up, crisp
spurn	  1,reject,  freeze off, scorn, pooh-pooh, disdain, turn down,refuse, decline
shelve	  1,postpone, prorogue, hold over, put over, table,  set back, defer, remit, put off,delay,2,put, set, place, pose, position, lay
reshuffle	  1,shuffle, ruffle, mix,2,rearrange
grace	  1,decorate, adorn,  ornament, embellish, beautify,change, alter, modify,2,deck, adorn, decorate,  embellish, beautify,be
ship	  1,transport, send, move, displace,2,hire, engage, employ,3,embark, board, get on,4,travel, journey,5,put, set, place, pose, position, lay
tempt	  1, allure,invite, bid,2,entice, lure, provoke, stimulate,3, invite,stimulate, shake, shake up, excite, stir,4,charm, influence, persuade,5,arouse, sex, excite, turn on, wind up,6,persuade
gear	  1, pitch,adapt, accommodate
quantify	  1,specify, set, determine, fix, limit,2, measure,carry, convey, express
channel	  1,conduct, transmit, convey, carry, bring, convey, take,2, canalize, canalise,steer, maneuver, manoeuver, manoeuvre, direct, point, head, guide, channelize, channelise,3,transmit, transfer, transport,  channelize, channelise,move, displace
