	0 || 0
branch	0 || 0
brand	1 || 1
brand	0 || 0
brandish	0 || 0
brandish	0 || 0
brave	0 || 1
brave	0 || 0
brave	3 || 7
brave	0 || 1
brave	0 || 0
brave	3 || 7
bray	0 || 0
bray	1 || 0
breach	1 || 0
breach	0 || 0
break	3 || 6
break	22 || 17
break	3 || 6
break	22 || 17
break	3 || 6
break	22 || 17
break	3 || 6
break	22 || 17
break	3 || 6
break	22 || 17
break	3 || 6
break	22 || 17
break	3 || 6
break	22 || 17
break	3 || 6
break	22 || 17
break	3 || 6
break	22 || 17
break	3 || 6
break	22 || 17
break	3 || 6
break	22 || 17
break-dance	1 || 0
break-dance	0 || 0
breast	1 || 0
breast	0 || 0
breastfeed	0 || 0
breathe	1 || 4
breathe	1 || 4
breathe	1 || 4
breed	1 || 0
breed	0 || 1
bribe	0 || 0
bribe	0 || 0
brief	0 || 0
brief	0 || 0
brief	3 || 0
brighten	0 || 7
brine	0 || 1
brine	0 || 0
bring	4 || 3
bring	4 || 3
bring	4 || 3
bring	4 || 3
bring	4 || 3
bring	4 || 3
bring	4 || 3
bring	4 || 3
bring	4 || 3
bring	4 || 3
bring	4 || 3
bring	4 || 3
bring	4 || 3
bring	4 || 3
bring	4 || 3
bring	4 || 3
bring	4 || 3
bring	4 || 3
broach	0 || 0
broach	0 || 1
broadcast	0 || 0
broadcast	0 || 0
broaden	0 || 0
bronze	0 || 0
bronze	0 || 0
bronze	0 || 0
brood	0 || 1
brood	1 || 0
brook	0 || 2
brook	2 || 3
broom	2 || 0
broom	0 || 0
browbeat	2 || 1
brown	2 || 0
brown	0 || 0
brown	0 || 0
browse	0 || 0
browse	1 || 2
bruise	0 || 0
bruise	7 || 1
brush	1 || 1
brush	1 || 1
brush	1 || 1
brush	1 || 1
brush	1 || 1
brush	1 || 1
brush	1 || 1
brush	1 || 1
buck	0 || 1
buck	3 || 1
bucket	0 || 1
bucket	0 || 0
buckle	0 || 0
buckle	0 || 0
buckle	0 || 0
buckle	0 || 0
budge	0 || 0
budge	0 || 0
budget	0 || 0
budget	0 || 0
buff	1 || 0
buff	1 || 0
buff	0 || 0
buffer	0 || 1
buffer	0 || 0
buff	0 || 0
buffet	0 || 0
buffet	1 || 0
bug	2 || 0
bug	0 || 0
bug	2 || 0
bug	0 || 0
bugger	2 || 0
bugger	1 || 0
build	1 || 1
build	2 || 11
build	1 || 1
build	2 || 11
build	1 || 1
build	2 || 11
build	1 || 1
build	2 || 11
bulge	0 || 1
bulge	0 || 0
bulge	0 || 1
bulge	0 || 0
bulk	0 || 1
bulk	0 || 1
bulk	0 || 1
bulk	0 || 1
bull	3 || 5
bull	1 || 2
bull	3 || 5
bull	1 || 2
bullshit	2 || 1
bullshit	1 || 2
bully	1 || 0
bully	2 || 1
bully	1 || 8
bullyrag	2 || 1
bumble	3 || 11
bump	0 || 1
bump	2 || 3
bump	0 || 1
bump	2 || 3
bump	0 || 1
bump	2 || 3
bunch	0 || 1
bunch	1 || 2
bunch	0 || 1
bunch	1 || 2
bunch	0 || 1
bunch	1 || 2
bunco	1 || 0
bunco	1 || 0
bundle	0 || 0
bundle	0 || 4
bundle	0 || 0
bundle	0 || 4
bung	0 || 0
bung	0 || 0
bungle	0 || 0
bungle	2 || 11
bunk	1 || 0
bunk	2 || 1
bunk	1 || 0
bunk	2 || 1
bunt	2 || 0
bunt	0 || 0
buoy	0 || 0
buoy	0 || 2
buoy	0 || 0
buoy	0 || 2
burden	1 || 0
burden	2 || 1
burgeon	0 || 0
burn	2 || 0
burn	7 || 6
burn	2 || 0
burn	7 || 6
burnish	0 || 1
burnish	0 || 0
burst	1 || 1
burst	0 || 4
burst	1 || 1
burthen	0 || 0
burthen	2 || 0
bury	1 || 2
bush	1 || 1
bush	0 || 0
bush	0 || 0
bushel	2 || 0
bushel	1 || 1
bust	3 || 1
bust	1 || 1
bust	0 || 0
butt	1 || 2
butt	0 || 0
butt	1 || 2
butt	0 || 0
butt	1 || 2
butt	0 || 0
butterfly	1 || 1
butterfly	0 || 3
button	0 || 0
button	0 || 0
buy	0 || 0
buy	0 || 1
buy	0 || 0
buy	0 || 1
buy	0 || 0
buy	0 || 1
buy	0 || 0
buy	0 || 1
buzz	1 || 1
buzz	1 || 0
bypass	2 || 0
bypass	0 || 0
ca-ca	2 || 0
cabal	0 || 0
cabal	0 || 0
cabbage	0 || 0
cabbage	1 || 0
cable	0 || 1
cable	0 || 0
cache	1 || 0
cache	0 || 2
cajole	0 || 2
